,start_time,end_time,instrument,note,start_beat,end_beat,note_value,id,length,id_cat
2858,1102.2222222222222,74848.79818594105,1,36,0.0,0.989583333333,Quarter,2490,8306939,59
2859,1102.2222222222222,74848.79818594105,1,64,0.0,0.989583333333,Quarter,2490,8306939,59
2860,1102.2222222222222,74848.79818594105,1,60,0.0,0.989583333333,Quarter,2490,8306939,59
2861,1102.2222222222222,74848.79818594105,1,43,0.0,0.989583333333,Quarter,2490,8306939,59
2862,1102.2222222222222,74848.79818594105,1,48,0.0,0.989583333333,Quarter,2490,8306939,59
2863,1102.2222222222222,74848.79818594105,1,55,0.0,0.989583333333,Quarter,2490,8306939,59
2864,75034.55782312925,96025.39682539682,1,65,1.0,0.489583333333,Eighth,2490,8306939,59
2865,75034.55782312925,96025.39682539682,1,62,1.0,0.489583333333,Eighth,2490,8306939,59
2866,75034.55782312925,96025.39682539682,1,55,1.0,0.489583333333,Eighth,2490,8306939,59
2867,75034.55782312925,96025.39682539682,1,47,1.0,0.489583333333,Eighth,2490,8306939,59
2868,75034.55782312925,96025.39682539682,1,43,1.0,0.489583333333,Eighth,2490,8306939,59
2869,75034.55782312925,96025.39682539682,1,35,1.0,0.489583333333,Eighth,2490,8306939,59
2870,138935.87301587302,160669.38775510204,1,67,3.0,0.739583333333,Dotted Eighth,2490,8306939,59
2871,138935.87301587302,172558.3673469388,1,55,3.0,0.989583333333,Quarter,2490,8306939,59
2872,138935.87301587302,172558.3673469388,1,35,3.0,0.989583333333,Quarter,2490,8306939,59
2873,138935.87301587302,172558.3673469388,1,47,3.0,0.989583333333,Quarter,2490,8306939,59
2874,138935.87301587302,172558.3673469388,1,43,3.0,0.989583333333,Quarter,2490,8306939,59
2875,160855.51020408163,172558.3673469388,1,62,3.75,0.239583333333,Sixteenth,2490,8306939,59
2876,172929.8866213152,190205.53287981855,1,64,4.0,0.489583333333,Eighth,2490,8306939,59
2877,172929.8866213152,190205.53287981855,1,55,4.0,0.489583333333,Eighth,2490,8306939,59
2878,172929.8866213152,190205.53287981855,1,48,4.0,0.489583333333,Eighth,2490,8306939,59
2879,172929.8866213152,190205.53287981855,1,43,4.0,0.489583333333,Eighth,2490,8306939,59
2880,172929.8866213152,190205.53287981855,1,36,4.0,0.489583333333,Eighth,2490,8306939,59
2881,229958.09523809524,261165.7142857143,1,60,6.0,0.989583333333,Quarter,2490,8306939,59
