start_time,end_time,instrument,note,start_beat,end_beat,note_value,id,length,id_cat
40854.78458049887,42340.861678004534,1,81,0.833333333333,0.266666666667,Eighth,1734,5209862,1
41226.30385487528,42340.861678004534,1,85,0.916666666667,0.183333333333,Triplet,1734,5209862,1
41969.34240362812,42340.861678004534,1,88,1.0,0.1,Triplet Thirty Second,1734,5209862,1
47542.13151927438,47727.89115646258,1,69,2.0,0.1,Triplet Thirty Second,1734,5209862,1
47542.13151927438,47727.89115646258,1,76,2.0,0.1,Triplet Thirty Second,1734,5209862,1
47542.13151927438,47727.89115646258,1,73,2.0,0.1,Triplet Thirty Second,1734,5209862,1
52186.12244897959,52557.641723356006,1,61,3.0,0.1,Triplet Thirty Second,1734,5209862,1
52186.12244897959,52557.641723356006,1,64,3.0,0.1,Triplet Thirty Second,1734,5209862,1
52186.12244897959,52557.641723356006,1,57,3.0,0.1,Triplet Thirty Second,1734,5209862,1
56830.11337868481,57573.15192743764,1,59,4.0,0.1,Triplet Thirty Second,1734,5209862,1
56830.11337868481,57573.15192743764,1,64,4.0,0.1,Triplet Thirty Second,1734,5209862,1
56830.11337868481,57573.15192743764,1,56,4.0,0.1,Triplet Thirty Second,1734,5209862,1
61474.10430839002,63517.46031746032,1,68,5.0,0.5,Eighth,1734,5209862,1
61474.10430839002,63517.46031746032,1,71,5.0,0.5,Eighth,1734,5209862,1
63517.46031746032,66118.09523809524,1,76,5.5,0.5,Eighth,1734,5209862,1
66118.09523809524,68904.48979591837,1,69,6.0,0.5,Eighth,1734,5209862,1
66118.09523809524,66861.13378684808,1,64,6.0,0.1,Triplet Thirty Second,1734,5209862,1
66118.09523809524,66861.13378684808,1,61,6.0,0.1,Triplet Thirty Second,1734,5209862,1
66118.09523809524,66861.13378684808,1,57,6.0,0.1,Triplet Thirty Second,1734,5209862,1
66118.09523809524,68904.48979591837,1,73,6.0,0.5,Eighth,1734,5209862,1
68904.48979591837,71690.8843537415,1,76,6.5,0.5,Eighth,1734,5209862,1
70947.84580498867,72248.16326530612,1,83,6.83333333333,0.266666666667,Sixteenth,1734,5209862,1
71319.36507936507,72248.16326530612,1,86,6.91666666667,0.183333333333,Triplet Sixteenth,1734,5209862,1
71690.8843537415,72248.16326530612,1,88,7.0,0.1,Triplet Thirty Second,1734,5209862,1
76334.51247165533,76706.39455782314,1,76,8.0,0.1,Triplet Thirty Second,1734,5209862,1
76334.51247165533,76706.39455782314,1,74,8.0,0.1,Triplet Thirty Second,1734,5209862,1
76334.51247165533,76706.39455782314,1,71,8.0,0.1,Triplet Thirty Second,1734,5209862,1
80607.3469387755,80793.10657596371,1,59,9.0,0.1,Triplet Thirty Second,1734,5209862,1
80607.3469387755,80793.10657596371,1,64,9.0,0.1,Triplet Thirty Second,1734,5209862,1
80607.3469387755,80793.10657596371,1,62,9.0,0.1,Triplet Thirty Second,1734,5209862,1
84694.0589569161,84879.8185941043,1,61,10.0,0.1,Triplet Thirty Second,1734,5209862,1
84694.0589569161,84879.8185941043,1,64,10.0,0.1,Triplet Thirty Second,1734,5209862,1
84694.0589569161,84879.8185941043,1,57,10.0,0.1,Triplet Thirty Second,1734,5209862,1
88966.5306122449,91381.40589569161,1,69,11.0,0.5,Eighth,1734,5209862,1
88966.5306122449,91381.40589569161,1,73,11.0,0.5,Eighth,1734,5209862,1
91381.40589569161,93796.28117913833,1,76,11.5,0.5,Eighth,1734,5209862,1
93796.28117913833,97511.4739229025,1,71,12.0,0.5,Eighth,1734,5209862,1
93796.28117913833,94167.80045351473,1,64,12.0,0.1,Triplet Thirty Second,1734,5209862,1
93796.28117913833,94167.80045351473,1,62,12.0,0.1,Triplet Thirty Second,1734,5209862,1
93796.28117913833,94167.80045351473,1,59,12.0,0.1,Triplet Thirty Second,1734,5209862,1
93796.28117913833,97511.4739229025,1,74,12.0,0.5,Eighth,1734,5209862,1
97511.4739229025,100112.10884353741,1,76,12.5,0.5,Eighth,1734,5209862,1
99369.07029478459,100483.62811791383,1,85,12.8333333333,0.266666666667,Sixteenth,1734,5209862,1
99740.58956916099,100483.62811791383,1,88,12.9166666667,0.183333333333,Triplet Sixteenth,1734,5209862,1
100112.10884353741,100483.62811791383,1,93,13.0,0.1,Triplet Thirty Second,1734,5209862,1
104570.34013605442,105127.61904761905,1,81,14.0,0.1,Triplet Thirty Second,1734,5209862,1
104570.34013605442,105127.61904761905,1,76,14.0,0.1,Triplet Thirty Second,1734,5209862,1
104570.34013605442,105127.61904761905,1,73,14.0,0.1,Triplet Thirty Second,1734,5209862,1
109214.33106575963,109771.60997732426,1,61,15.0,0.1,Triplet Thirty Second,1734,5209862,1
109214.33106575963,109771.60997732426,1,64,15.0,0.1,Triplet Thirty Second,1734,5209862,1
113672.56235827664,129647.89115646259,1,59,16.0,3.0,Dotted Half,1734,5209862,1
113672.56235827664,129647.89115646259,1,67,16.0,3.0,Dotted Half,1734,5209862,1
113672.56235827664,129647.89115646259,1,62,16.0,3.0,Dotted Half,1734,5209862,1
118873.83219954648,123332.06349206349,1,71,17.0,1.0,Quarter,1734,5209862,1
118873.83219954648,123332.06349206349,1,74,17.0,1.0,Quarter,1734,5209862,1
118873.83219954648,123332.06349206349,1,79,17.0,1.0,Quarter,1734,5209862,1
123332.06349206349,124260.86167800454,1,83,18.0,0.1,Triplet Thirty Second,1734,5209862,1
123332.06349206349,124260.86167800454,1,91,18.0,0.1,Triplet Thirty Second,1734,5209862,1
123332.06349206349,124260.86167800454,1,86,18.0,0.1,Triplet Thirty Second,1734,5209862,1
128904.85260770975,129647.89115646259,1,91,18.875,0.125,Thirty Second,1734,5209862,1
129647.89115646259,136334.87528344672,1,59,19.0,2.0,Half,1734,5209862,1
129647.89115646259,132248.16326530612,1,90,19.0,0.5,Eighth,1734,5209862,1
129647.89115646259,136334.87528344672,1,62,19.0,2.0,Half,1734,5209862,1
129647.89115646259,136334.87528344672,1,54,19.0,2.0,Half,1734,5209862,1
132248.16326530612,133734.60317460317,1,89,19.5,0.5,Eighth,1734,5209862,1
133734.60317460317,135220.68027210885,1,90,20.0,0.5,Eighth,1734,5209862,1
135220.68027210885,136334.87528344672,1,95,20.5,0.5,Eighth,1734,5209862,1
136334.87528344672,140793.4693877551,1,64,21.0,1.0,Quarter,1734,5209862,1
136334.87528344672,138378.231292517,1,88,21.0,0.5,Eighth,1734,5209862,1
136334.87528344672,140793.4693877551,1,61,21.0,1.0,Quarter,1734,5209862,1
136334.87528344672,140793.4693877551,1,54,21.0,1.0,Quarter,1734,5209862,1
138378.231292517,140793.4693877551,1,94,21.5,0.5,Eighth,1734,5209862,1
140793.4693877551,143208.3446712018,1,95,22.0,0.5,Eighth,1734,5209862,1
140793.4693877551,157139.95464852607,1,59,22.0,3.0,Dotted Half,1734,5209862,1
140793.4693877551,157139.95464852607,1,62,22.0,3.0,Dotted Half,1734,5209862,1
143208.3446712018,145623.21995464852,1,90,22.5,0.5,Eighth,1734,5209862,1
145623.21995464852,148595.37414965985,1,86,23.0,0.5,Eighth,1734,5209862,1
148595.37414965985,151196.0090702948,1,83,23.5,0.5,Eighth,1734,5209862,1
151196.0090702948,154353.92290249432,1,74,24.0,0.5,Eighth,1734,5209862,1
156397.27891156462,157697.5963718821,1,83,24.8333333333,0.266666666667,Sixteenth,1734,5209862,1
156768.79818594104,157697.5963718821,1,86,24.9166666667,0.183333333333,Triplet Sixteenth,1734,5209862,1
157139.95464852607,157697.5963718821,1,91,25.0,0.1,Triplet Thirty Second,1734,5209862,1
161970.0680272109,162527.3469387755,1,74,26.0,0.1,Triplet Thirty Second,1734,5209862,1
161970.0680272109,162527.3469387755,1,79,26.0,0.1,Triplet Thirty Second,1734,5209862,1
161970.0680272109,162527.3469387755,1,71,26.0,0.1,Triplet Thirty Second,1734,5209862,1
166614.0589569161,171629.56916099772,1,62,27.0,1.0,Quarter,1734,5209862,1
166614.0589569161,171629.56916099772,1,59,27.0,1.0,Quarter,1734,5209862,1
171629.56916099772,186118.82086167802,1,60,28.0,3.0,Dotted Half,1734,5209862,1
171629.56916099772,186118.82086167802,1,57,28.0,3.0,Dotted Half,1734,5209862,1
171629.56916099772,186118.82086167802,1,65,28.0,3.0,Dotted Half,1734,5209862,1
176459.31972789115,177016.59863945577,1,69,29.0,0.1,Triplet Thirty Second,1734,5209862,1
176459.31972789115,177016.59863945577,1,77,29.0,0.1,Triplet Thirty Second,1734,5209862,1
176459.31972789115,177016.59863945577,1,72,29.0,0.1,Triplet Thirty Second,1734,5209862,1
181660.589569161,182031.74603174604,1,89,30.0,0.1,Triplet Thirty Second,1734,5209862,1
181660.589569161,182031.74603174604,1,84,30.0,0.1,Triplet Thirty Second,1734,5209862,1
181660.589569161,182031.74603174604,1,81,30.0,0.1,Triplet Thirty Second,1734,5209862,1
185375.78231292518,186118.82086167802,1,89,30.875,0.125,Thirty Second,1734,5209862,1
186118.82086167802,190948.57142857142,1,44,31.0,1.0,Quarter,1734,5209862,1
186118.82086167802,188162.1768707483,1,88,31.0,0.5,Eighth,1734,5209862,1
188162.1768707483,190948.57142857142,1,87,31.5,0.5,Eighth,1734,5209862,1
190948.57142857142,195035.283446712,1,52,32.0,1.0,Quarter,1734,5209862,1
190948.57142857142,192991.92743764172,1,88,32.0,0.5,Eighth,1734,5209862,1
192991.92743764172,195035.283446712,1,87,32.5,0.5,Eighth,1734,5209862,1
195035.283446712,200050.79365079364,1,59,33.0,1.0,Quarter,1734,5209862,1
195035.283446712,197264.39909297053,1,88,33.0,0.5,Eighth,1734,5209862,1
197264.39909297053,200050.79365079364,1,90,33.5,0.5,Eighth,1734,5209862,1
200050.79365079364,204880.54421768707,1,45,34.0,1.0,Quarter,1734,5209862,1
200050.79365079364,202651.42857142858,1,90,34.0,0.5,Eighth,1734,5209862,1
202651.42857142858,204880.54421768707,1,88,34.5,0.5,Eighth,1734,5209862,1
204880.54421768707,208967.25623582766,1,52,35.0,1.0,Quarter,1734,5209862,1
204880.54421768707,206923.90022675737,1,85,35.0,0.5,Eighth,1734,5209862,1
206923.90022675737,208967.25623582766,1,81,35.5,0.5,Eighth,1734,5209862,1
208967.25623582766,210824.85260770976,1,76,36.0,0.5,Eighth,1734,5209862,1
208967.25623582766,212868.20861678006,1,61,36.0,1.0,Quarter,1734,5209862,1
212868.20861678006,213239.72789115645,1,74,37.0,0.05,Triplet Sixty Fourth,1734,5209862,1
212868.20861678006,213239.72789115645,1,76,37.0,0.05,Triplet Sixty Fourth,1734,5209862,1
212868.20861678006,217883.7188208617,1,47,37.0,1.0,Quarter,1734,5209862,1
214911.56462585033,215283.08390022675,1,76,37.5,0.05,Triplet Sixty Fourth,1734,5209862,1
214911.56462585033,215283.08390022675,1,74,37.5,0.05,Triplet Sixty Fourth,1734,5209862,1
217883.7188208617,222341.9501133787,1,56,38.0,1.0,Quarter,1734,5209862,1
217883.7188208617,218255.2380952381,1,76,38.0,0.05,Triplet Sixty Fourth,1734,5209862,1
217883.7188208617,218255.2380952381,1,74,38.0,0.05,Triplet Sixty Fourth,1734,5209862,1
220484.3537414966,220855.87301587302,1,76,38.5,0.05,Triplet Sixty Fourth,1734,5209862,1
220484.3537414966,220855.87301587302,1,74,38.5,0.05,Triplet Sixty Fourth,1734,5209862,1
222341.9501133787,226800.18140589568,1,62,39.0,1.0,Quarter,1734,5209862,1
222341.9501133787,222713.4693877551,1,76,39.0,0.05,Triplet Sixty Fourth,1734,5209862,1
